OTU;SampleID;SampleSite;SampleType;Date;Richness
AF1;I1_12VX5;I;12v_5;Day1;2
AF10;J2_12VP;J;12vp;Day2;0
AF100;H3_5VP;H;5vp;Day3;0
AF101;B1_5VP;B;5vp;Day1;0
AF102;A3_5VP;A;5vp;Day3;0
AF103;G1_12VX5;G;12v_5;Day1;6
AF104;C3_12VX5;C;12v_5;Day3;5
AF105;J2_5VP;J;5vp;Day2;0
AF106;H3_5V;H;5v;Day3;0
AF107;G1_5VP;G;5vp;Day1;0
AF108;E1_12VP;E;12vp;Day1;0
AF109;H2_5VP;H;5vp;Day2;0
AF11;F1_5VX12;F;5v_12;Day1;2
AF110;I2_5V;I;5v;Day2;3
AF111;A2_5V;A;5v;Day2;3
AF112;B2_12VP;B;12vp;Day2;0
AF113;H2_5VX12;H;5v_12;Day2;5
AF114;E2_12V;E;12v;Day2;2
AF115;G3_12V;G;12v;Day3;8
AF116;A3_5VX12;A;5v_12;Day3;0
AF117;D2_5VX12;D;5v_12;Day2;2
AF118;C1_12VP;C;12vp;Day1;0
AF119;F2_12VX5;F;12v_5;Day2;2
AF12;I3_12V;I;12v;Day1;11
AF120;A1_5V;A;5v;Day1;3
AF121;C1_5VP;C;5vp;Day1;0
AF122;A2_5VP;A;5vp;Day2;0
AF123;J3_5VX12;J;5v_12;Day3;7
AF124;C2_12VX5;C;12v_5;Day2;4
AF125;F3_5VP;F;5vp;Day3;0
AF127;E3_5V;E;5v;Day3;4
AF128;H3_5VX12;H;5v_12;Day3;11
AF129;G2_12VP;;12vp;Day2;0
AF13;J3_12V;J;12v;Day3;7
AF130;B2_12V;B;12v;Day2;6
AF131;H1_12V;H;12v;Day1;9
AF132;I1_12VP;I;12vp;Day1;0
AF133;I3_5V;I;5v;Day3;5
AF134;D1_5V;D;5v;Day1;0
AF135;B1_5V;B;5v;Day1;3
AF136;E3_5VP;E;5vp;Day3;0
AF137;A2_12V;A;12v;Day2;4
AF138;E2_5VX12;E;5v_12;Day2;7
AF139;D2_12VP;D;12vp;Day2;0
AF14;D2_12VX5;D;12v_5;Day2;0
AF140;F2_5VX12;F;5v_12;Day2;3
AF141;F1_5VP;F;5vp;Day1;0
AF142;D3_12VP;D;12vp;Day3;0
AF143;D2_12V;D;12v;Day2;4
AF144;A1_5VX12;A;5v_12;Day1;4
AF145;G1_12VP;G;12vp;Day1;0
AF146;H2_5V;H;5v;Day2;0
AF147;E2_12VX5;E;12v_5;Day2;2
AF148;I3_12VP;I;12vp;Day3;0
AF149;A1_12VP;A;12vp;Day1;0
AF15;B1_5VX12;B;5v_12;Day1;2
AF150;F3_12VP;F;12vp;Day3;0
AF151;B1_12V;B;12v;Day1;5
AF152;I2_12V;I;12v;Day2;5
AF153;C2_5V;C;5v;Day2;0
AF154;I1_5VX12;I;5v_12;Day1;3
AF155;E3_12V;E;12v;Day3;3
AF156;C1_5VX12;C;5v_12;Day1;1
AF157;C3_12VP;C;12vp;Day3;0
AF158;I3_5VP;I;5vp;Day3;0
AF159;G3_5VP;G;5vp;Day3;0
AF16;I3_12VX5;I;12v_5;Day3;7
AF160;F2_12V;F;12v;Day2;2
AF161;E3_5VX12;E;5v_12;Day3;6
AF162;J1_12V;J;12v;Day1;10
AF163;D3_5VX12;D;5v_12;Day3;9
